,Role,Company,Stipend,Duration,Location
7700,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
7701,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
7702,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
7703,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
7704,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
7705,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
7706,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7707,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
7708,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
7709,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
7710,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
7711,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
7712,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
7713,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
7714,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
7715,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
7716,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
7717,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
7718,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
7719,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7720,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
7721,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
7722,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7723,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
7724,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
7725,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
7726,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
7727,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
7728,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
7729,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
7730,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
7731,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
7732,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
7733,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
7734,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
7735,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
7736,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
7737,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
7738,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
7739,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
7740,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
7741,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
7742,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
7743,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
7744,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
7745,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
7746,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
7747,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
7748,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
7749,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
7750,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
7751,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
7752,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
7753,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
7754,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
7755,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
7756,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7757,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
7758,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
7759,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
7760,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
7761,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
7762,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
7763,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
7764,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
7765,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
7766,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
7767,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
7768,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
7769,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7770,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
7771,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
7772,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7773,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
7774,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
7775,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
7776,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
7777,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
7778,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
7779,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
7780,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
7781,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
7782,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
7783,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
7784,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
7785,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
7786,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
7787,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
7788,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
7789,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
7790,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
7791,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
7792,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
7793,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
7794,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
7795,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
7796,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
7797,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
7798,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
7799,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
7800,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
7801,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
7802,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
7803,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
7804,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
7805,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
7806,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7807,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
7808,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
7809,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
7810,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
7811,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
7812,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
7813,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
7814,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
7815,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
7816,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
7817,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
7818,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
7819,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7820,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
7821,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
7822,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7823,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
7824,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
7825,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
7826,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
7827,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
7828,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
7829,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
7830,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
7831,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
7832,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
7833,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
7834,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
7835,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
7836,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
7837,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
7838,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
7839,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
7840,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
7841,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
7842,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
7843,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
7844,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
7845,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
7846,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
7847,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
7848,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
7849,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
7850,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
7851,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
7852,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
7853,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
7854,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
7855,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
7856,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7857,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
7858,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
7859,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
7860,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
7861,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
7862,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
7863,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
7864,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
7865,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
7866,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
7867,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
7868,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
7869,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7870,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
7871,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
7872,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7873,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
7874,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
